Curve_ID,Pump_Type,Flow_m3s,Head_m,Power_kW,Efficiency_pct,Notes
PC_Small_1,Submersible,0.000,45.0,5.0,0,Small residential pump
PC_Small_1,Submersible,0.025,42.0,8.0,65,
PC_Small_1,Submersible,0.050,38.0,12.0,75,
PC_Small_1,Submersible,0.075,32.0,15.0,70,
PC_Small_1,Submersible,0.100,25.0,18.0,60,
PC_Medium_1,Submersible,0.000,65.0,15.0,0,Medium municipal pump
PC_Medium_1,Submersible,0.050,62.0,22.0,70,
PC_Medium_1,Submersible,0.100,58.0,30.0,78,
PC_Medium_1,Submersible,0.150,52.0,38.0,82,
PC_Medium_1,Submersible,0.200,45.0,45.0,80,
PC_Medium_1,Submersible,0.250,35.0,52.0,75,
PC_Large_1,Submersible,0.000,85.0,35.0,0,Large municipal pump
PC_Large_1,Submersible,0.100,82.0,45.0,75,
PC_Large_1,Submersible,0.200,78.0,58.0,82,
PC_Large_1,Submersible,0.300,72.0,72.0,85,
PC_Large_1,Submersible,0.400,64.0,88.0,84,
PC_Large_1,Submersible,0.500,54.0,105.0,80,
PC_Large_1,Submersible,0.600,40.0,122.0,72,
PC_HighHead_1,Multistage,0.000,120.0,25.0,0,High head multistage
PC_HighHead_1,Multistage,0.050,118.0,35.0,72,
PC_HighHead_1,Multistage,0.100,115.0,45.0,78,
PC_HighHead_1,Multistage,0.150,110.0,55.0,82,
PC_HighHead_1,Multistage,0.200,103.0,65.0,83,
PC_HighHead_1,Multistage,0.250,94.0,75.0,81,
PC_HighHead_1,Multistage,0.300,82.0,85.0,76,
PC_LowHead_1,Axial,0.000,25.0,8.0,0,Low head high flow
PC_LowHead_1,Axial,0.200,24.0,15.0,70,
PC_LowHead_1,Axial,0.400,22.0,22.0,78,
PC_LowHead_1,Axial,0.600,19.0,28.0,82,
PC_LowHead_1,Axial,0.800,15.0,34.0,81,
PC_LowHead_1,Axial,1.000,10.0,40.0,75,
PC_LowHead_1,Axial,1.200,4.0,46.0,65,
PC_VFD_1,Variable Speed,0.000,60.0,20.0,0,Variable speed capable
PC_VFD_1,Variable Speed,0.075,58.0,25.0,75,
PC_VFD_1,Variable Speed,0.150,54.0,32.0,82,
PC_VFD_1,Variable Speed,0.225,48.0,40.0,85,
PC_VFD_1,Variable Speed,0.300,40.0,48.0,83,
PC_VFD_1,Variable Speed,0.375,30.0,56.0,78,
PC_Booster_1,Centrifugal,0.000,35.0,8.0,0,Pressure boosting service
PC_Booster_1,Centrifugal,0.050,33.0,12.0,68,
PC_Booster_1,Centrifugal,0.100,30.0,16.0,75,
PC_Booster_1,Centrifugal,0.150,26.0,20.0,78,
PC_Booster_1,Centrifugal,0.200,21.0,24.0,76,
PC_Booster_1,Centrifugal,0.250,15.0,28.0,70,
PC_Duplex_1,Submersible,0.000,50.0,12.0,0,Duplex pump station
PC_Duplex_1,Submersible,0.100,48.0,18.0,72,
PC_Duplex_1,Submersible,0.200,44.0,26.0,78,
PC_Duplex_1,Submersible,0.300,38.0,35.0,81,
PC_Duplex_1,Submersible,0.400,30.0,44.0,79,
PC_Duplex_1,Submersible,0.500,20.0,53.0,72,
