Material,HW_C,Roughness_mm,Max_Pressure_m,Typical_Diameter_Range_m,Cost_Factor,Notes
PVC,150,0.025,100,0.1-1.2,1.0,Smooth interior surface ideal for force mains
Ductile Iron,130,0.15,200,0.15-2.0,1.8,High pressure rating excellent for long force mains
HDPE,140,0.05,80,0.1-1.5,1.2,Flexible joints good for unstable soils
Steel,120,0.5,300,0.2-3.0,2.5,Highest pressure rating for extreme conditions
Cast Iron,100,1.5,150,0.1-1.0,1.5,Legacy material still in service
Concrete,120,1.0,50,0.3-3.0,0.8,Large diameter gravity applications
Fiberglass,145,0.05,120,0.3-4.0,2.2,Corrosion resistant for harsh environments
PE100,145,0.025,120,0.1-1.6,1.3,Modern polyethylene with high pressure rating
Copper,130,0.15,200,0.05-0.3,4.0,Small diameter services
ABS,140,0.05,60,0.1-0.6,1.1,Chemical resistant applications
